campo,contenido_txt
hex,1
image,"Heaven, in its motion, (gives the idea of) strength. The superior man, in accordance with this, nerves himself to ceaseless activity."
L1,‘The dragon lies hid in the deep;—it is not the time for active doing:'—(this appears from) the strong and undivided line's being in the lowest place.
L2,‘The dragon appears in the field:'—the diffusion of virtuous influence has been wide.
L3,‘Active and vigilant all the day:'—(this refers to) the treading of the (proper) path over and over again.
L4,"‘He seems to be leaping up, but is still in the deep:'—if he advance, there will be no error."
L5,‘The dragon is on the wing in the sky:'—the great man rouses himself to his work.
L6,"‘The dragon exceeds the proper limits;—there will be occasion for repentance:'—a state of fulness, that is, should not be indulged in long."
L7,"‘The same line (undivided) is used' (in all the places of this hexagram), but the attribute of heaven (thereby denoted) should not (always) take the foremost place."
hex_fin,
hex,2
image,"The (capacity and sustaining) power of the earth is what is denoted by Khwăn. The superior man, in accordance with this, with his large virtue supports (men and) things."
L1,"‘He is treading on hoarfrost;—the strong ice will come (by and by):'—the cold (air) has begun to take form. Allow it to go on quietly according to its nature, and (the hoarfrost) will come to strong ice."
L2,"The movement indicated by the second six, (divided),is ‘from the straight (line) to the square.' ‘(Its operation), without repeated effort, in every way advantageous,' shows the brilliant result of the way of earth."
L3,"‘He keeps his excellence tinder restraint, but firmly maintains it:'—at the proper time he will manifest it. ‘He may have occasion to engage in the king's service:—great is the glory of his wisdom."
L4,"‘A sack tied up;—there will be no error:'—this shows how, through carefulness, no injury will be received."
L5,‘The Yellow lower-garment;—there will be great good fortune:'—this follows from that ornamental (colour's) being in the right and central place.
L6,‘The dragons fight in the wild:—the (onward) course (indicated by Khwăn) is pursued to extremity.
L7,"‘(The lines are all weak and divided, as appears from) the use of the number line:—but (those who are thus represented) becoming perpetually correct and firm, there will thereby be a great consummation."
hex_fin,
hex,3
image,"(The trigram representing) clouds and (that representing) thunder form Kun. The superior man, in accordance with this, (adjusts his measures of government) as in sorting the threads of the warp and woof."
L1,"Although ‘there is a difficulty in advancing,' the mind (of the subject of the line) is set on doing what is correct. While noble, he humbles himself to the mean, and grandly gains the people."
L2,"The difficulty (to the subject of) the second six, (divided), arises from, its place over the undivided line below it. ‘The union and children after ten years' shows things resuming their regular course."
L3,"‘One pursues the deer without the (guidance of the) forester:'—(he does so) in (his eagerness to) follow the game. ‘The superior man gives up the chase, (knowing that) if he go forward he will regret it:'—he would be reduced to extremity."
L4,‘Going forward after such a search (for a helper)' shows intelligence.
L5,‘Difficulty is experienced (by the subject of the fifth line) in bestowing his rich favours:'—the extent to which they reach will not yet be conspicuous.
L6,‘He weeps tears of blood in streams:'—how can the state (thus emblemed) continue long?
hex_fin,
hex,4
image,"(The trigram representing) a mountain, and beneath it that for a spring issuing forth form Măng. The superior man, in accordance with this, strives to be resolute in his conduct and nourishes his virtue."
L1,‘It will be advantageous to use punishment:'—the object being to bring under the influence of correcting law.
L2,‘A son able to (sustain the burden of) his family:'—as appears from the reciprocation between this strong line and the weak (fifth line).
L3,‘A woman (such as is here represented) should not be taken in marriage:'—her conduct is not agreeable to what is right.
L4,‘The regret arising from ignorance bound in chains' is due to the special distance of (the subject of this line) from the solidity (shown in lines 2 and 6).
L5,‘The good fortune belonging to the simple lad without experience' comes from his docility going on to humility.
L6,"‘Advantage will come from warding off injury:'—(the subject of this line) above and (the ignorant) below, all do and are done to in accordance with their nature."
hex_fin,
hex,5
image,"(The trigram for) clouds ascending over that for the sky forms Hsü. The superior man, in accordance with this, eats and drinks, feasts and enjoys himself (as if there were nothing else to employ him)."
L1,"‘He is waiting in the (distant) border:'—he makes no movement to encounter rashly the difficulties (of the situation). ‘It will be advantageous for him constantly to maintain (the purpose thus shown), in which case there will be no error:'—he will not fail to pursue that regular course."
L2,"‘He is waiting on the sand:'—he occupies his position in the centre with a generous forbearance. Though ‘he suffer the small injury of being spoken (against),' he will bring things to a good issue."
L3,"‘He is waiting in the mud:'—calamity is (close at hand, and as it were) in the outer (trigram). ‘He himself invites the approach of injury:'—if he be reverent and careful, he will not be worsted."
L4,"‘He is waiting in (the place of) blood:'—he accommodates himself (to the circumstances of the time), and hearkens to (its requirements)."
L5,"‘The appliances of a feast, and the good fortune through being firm and correct,' are indicated by (the position in) the central and correct place."
L6,"‘Guests come unurged (to give their help), and if (the subject of the line) receive them respectfully, there will be good fortune in the end:'—though the occupant and the place are not suited to each other, there has been no great failure (in what has been done)."
hex_fin,
hex,6
image,"(The trigram representing) heaven and (that representing) water, moving away from each other, form Sung. The superior man, in accordance with this, in the transaction of affairs takes good counsel about his first steps."
L1,"‘He does not perpetuate the matter about which (the contention is):'—contention should not be prolonged. Although ‘he may suffer the small (injury) of being spoken against,' his argument is clear."
L2,"‘He is unequal to the contention; he retires and keeps concealed, stealthily withdrawing from it:'—for him from his lower place to contend with (the stronger one) above, would be to (invite) calamity, as if he brought it with his hand to himself."
L3,"‘He confines himself to the support assigned to him of old:'—(thus) following those above him, he will have good fortune."
L4,"‘He returns to (the study of Heaven's) ordinances, changes (his wish to contend), and rests in being firm and correct:'—he does not fail (in doing what is right)."
L5,‘He contends;—and ‘with great fortune:—this is shown by his holding the due mean and being in the correct place.
L6,‘He receives the robe through his contention:'—but still be is not deserving of respect.
hex_fin,
hex,7
image,"(The trigram representing) the earth and in the midst of it that representing water, form Sze. The superior man, in accordance with this, nourishes and educates the people, and collects (from among them) the multitudes (of the hosts)."
L1,"‘The host goes forth according to the rules (for) such a movement:'—if those rules be not observed, there will be evil."
L2,"‘He is in the midst of the host, and there will be good fortune:'—he has received the favour of Heaven. ‘The king has thrice conveyed to him the orders (of) his favour:'—(the king) cherishes the myriad regions in his heart."
L3,‘The host with the possibility of its having many idle leaders:'—great will be its want of success.
L4,‘The host is in retreat; but there is no error:'—there has been no failure in the regular course.
L5,‘The oldest son leads the host:'—its movements are directed by him in accordance with his position in the centre. ‘Younger men idly occupy their positions:'—the employment of such men is improper.
L6,‘The great ruler delivers his charges:'—thereby he rightly apportions merit. 'small men should not be employed:'—they are sure to throw the states into confusion.
hex_fin,
hex,8
image,"(The trigram representing) the earth, and over it (that representing) water, form Pî. The ancient kings, in accordance with this, established the various states and maintained an affectionate relation to their princes."
L1,"From ‘the seeking union with its object' shown in the first line, (divided),there will be other advantages."
L2,‘The movement towards union and attachment proceeds from the inward (mind):'—(the party concerned) does not fail in what is proper to himself
L3,‘Union is sought with such as ought not to be associated with:'—but will not injury be the result?
L4,"‘Union is sought (by the party intended here) with one beyond himself, and (in this case) with a worthy object:'—he is following (the ruler) above him."
L5,"‘The good fortune belonging to the most illustrious instance of seeking union and attachment' appears in the correct and central position (of the fifth line, undivided)."
L6,‘He seeks union and attachment without taking the first (step to such an end):'—there is no possibility of a (good) issue.
