hex	field	level	de_lines	en_lines	errors	notes	de_first_line
1	intro	review	5	2	0	Intro: 5 líneas DE vs 2 EN — posible bloque extra (cabecera/trigrama/editorial).	1. Kiën / DAS SCHÖPFERISCHE
2	intro	review	5	2	0	Intro: 5 líneas DE vs 2 EN — posible bloque extra (cabecera/trigrama/editorial).	2. Kun / DAS EMPFANGENDE
3	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	3. Dschun / DIE ANFANGSSCHWIERIGKEIT
4	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	4. Mong / DIE JUGENDTORHEIT
5	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	5. Sü / DAS WARTEN (DIE ERNÄHRUNG)
6	intro	review	6	3	0	Intro: 6 líneas DE vs 3 EN — posible bloque extra (cabecera/trigrama/editorial).	6. Sung / DER STREIT
7	intro	review	5	2	0	Intro: 5 líneas DE vs 2 EN — posible bloque extra (cabecera/trigrama/editorial).	7. Schï / DAS HEER
8	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	8. Bi / DAS ZUSAMMENHALTEN
9	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	9. Siau Tschu / DES KLEINEN ZÄHMUNGSKRAFT
10	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	10. Lü / DAS AUFTRETEN
11	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	11. Tai / DER FRIEDE
12	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	12. Pi / DIE STOCKUNG
13	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	13. Tung Jen / GEMEINSCHAFT MIT MENSCHEN
14	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	14. Da Yu / DER BESITZ VON GROSSEM
15	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	15. Kiën / DIE BESCHEIDENHEIT
16	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	16. Yü / DIE BEGEISTERUNG
17	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	17. Sui / DIE NACHFOLGE
18	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	18. Gu / DIE ARBEIT AM VERDORBENEN
19	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	19. Lin / DIE ANNÄHERUNG
21	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	21. Schï Ho / DAS DURCHBEISSEN
22	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	22. Bi / DIE ANMUT
23	intro	review	6	2	0	Intro: 6 líneas DE vs 2 EN — posible bloque extra (cabecera/trigrama/editorial).	23. Bo / DIE ZERSPLITTERUNG
24	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	24. Fu / DIE WIEDERKEHR (DIE WENDEZEIT)
25	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	25. Wu Wang / DIE UNSCHULD (DAS UNERWARTETE)
27	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	27. I / DIE MUNDWINKEL (DIE ERNÄHRUNG)
28	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	28. Da Go / DES GROSSEN ÜBERGEWICHT
30	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	30. Li / DAS HAFTENDE, DAS FEUER
31	intro	review	5	2	0	Intro: 5 líneas DE vs 2 EN — posible bloque extra (cabecera/trigrama/editorial).	31. Hiën / DIE EINWIRKUNG (DIE WERBUNG)
32	intro	review	5	2	0	Intro: 5 líneas DE vs 2 EN — posible bloque extra (cabecera/trigrama/editorial).	32. Hong / DIE DAUER
33	intro	review	5	2	0	Intro: 5 líneas DE vs 2 EN — posible bloque extra (cabecera/trigrama/editorial).	33. Dun / DER RÜCKZUG
34	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	34. Da Dschuang / DES GROSSEN MACHT
35	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	35. Dsin / DER FORTSCHRITT
36	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	36. Ming I / DIE VERFINSTERUNG DES LICHTS
37	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	37. Gia Jen / DIE SIPPE
38	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	38. Kui / DER GEGENSATZ
39	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	39. Giën / DAS HEMMNIS
40	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	40. Hië / DIE BEFREIUNG
41	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	41. Sun / DIE MINDERUNG
43	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	43. Guai / DER DURCHBRUCH (DIE ENTSCHLOSSENHEIT)
44	intro	review	5	2	0	Intro: 5 líneas DE vs 2 EN — posible bloque extra (cabecera/trigrama/editorial).	44. Gou / DAS ENTGEGENKOMMEN
45	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	45. TSui / DIE SAMMLUNG
46	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	46. Schong / DAS EMPORDRINGEN
47	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	47. Kun / DIE BEDRÄNGNIS
51	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	51. Dschen / DAS ERREGENDE
52	intro	review	6	2	0	Intro: 6 líneas DE vs 2 EN — posible bloque extra (cabecera/trigrama/editorial).	52. Gen / DAS STILLEHALTEN, DER BERG
53	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	53. Dsien / DIE ENTWICKLUNG
54	intro	de_book_extra	5	1	0	1 línea(s) editorial(es) en intro — válido en libro DE 1924, ausente en Baynes. | Intro: 5 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	54. Gui me / DAS HEIRATENDE MÄDCHEN
55	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	55. Fong / DIE FÜLLE
56	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	56. Lü / DER WANDERER
57	intro	review	5	2	0	Intro: 5 líneas DE vs 2 EN — posible bloque extra (cabecera/trigrama/editorial).	57. Sun / DAS SANFTE
58	intro	review	5	2	0	Intro: 5 líneas DE vs 2 EN — posible bloque extra (cabecera/trigrama/editorial).	58. Dui / DAS HEITERE, DER SEE
59	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	59. Huan / DIE AUFLÖSUNG
60	intro	review	5	2	0	Intro: 5 líneas DE vs 2 EN — posible bloque extra (cabecera/trigrama/editorial).	60. Dsië / DIE BESCHRÄNKUNG
61	intro	review	6	3	0	Intro: 6 líneas DE vs 3 EN — posible bloque extra (cabecera/trigrama/editorial).	61. Dschung Fu / INNERE WAHRHEIT
62	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	62. Siau Go / DES KLEINEN ÜBERGEWICHT
64	intro	review	4	1	0	Intro: 4 líneas DE vs 1 EN — posible bloque extra (cabecera/trigrama/editorial).	64. We Dsi / VOR DER VOLLENDUNG
