campo	contenido_reconciliado	contenido_pass03	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	1	1	23-27	1	pendiente	coincide_zeno
nombre	DAS SCHÖPFERISCHE	DAS SCHÖPFERISCHE	23-27	DAS SCHÖPFERISCHE	pendiente	coincide_zeno
chinese	乾	乾	23-27	乾	pendiente	coincide_zeno
chinese_roman	Kiën	KIAN	23-27	KIAN	pendiente	diff_zeno
hex_font	䷀	䷀	23-27	䷀	pendiente	coincide_zeno
trigrama_arriba	oben Kiën, das Schöpferische, der Himmel	oben Kiän, das Schöpferische, der Himmel	23-27	oben Kiän, das Schöpferische, der Himmel	pendiente	diff_zeno
trigrama_abajo	unten Kiën, das Schöpferische, der Himmel	unten Kiän, das Schöpferische, der Himmel	23-27	unten Kiän, das Schöpferische, der Himmel	pendiente	diff_zeno
intro	1. Kiën / DAS SCHÖPFERISCHE\noben Kiën, das Schöpferische, der Himmel\nunten Kiën, das Schöpferische, der Himmel\nDas Zeichen besteht aus sechs ungeteilten Strichen. Die ungeteilten Striche entsprechen der lichten, starken, geistigen, tätigen Urkraft. Das Zeichen ist ganz einheitlich stark in seiner Natur. Da ihm keinerlei Schwäche anhaftet, ist es seiner Eigenschaft nach die Kraft. Sein Bild ist der Himmel. Die Kraft wird dargestellt als nicht gebunden an bestimmte räumliche Verhältnisse. Darum wird sie aufgefaßt als Bewegung. Als Grundlage dieser Bewegung kommt die Zeit in Betracht. So ist denn auch die Macht der Zeit und die Macht des Beharrens in der Zeit, die Dauer, in dem Zeichen begriffen.\n\nBei der Erklärung des Zeichens ist durchgehend eine doppelte Deutung zu berücksichtigen: die makrokosmische und die Wirkung in der Menschenwelt. Auf das Weltgeschehen angewandt ist in dem Zeichen das starke schöpferische Wirken der Gottheit ausgedrückt. Auf die Menschenwelt angewandt bezeichnet es das schöpferische Wirken des Heiligen und Weisen, des Herrschers und Führers der Menschen, der ihr höheres Wesen durch seine Kraft weckt und entwickelt.	1. KIAN / DAS SCHÖPFERISCHE\noben Kiän, das Schöpferische, der Himmel\nunten Kiän, das Schöpferische, der Himmel\nas Zeichen besteht aus sechs ungeteilten Strichen. Die ungeteilten\nstarken, geistigen, tätigen Urkraft. Das\nZeichen ist ganz einheitlich stark in seiner Natur. Da ihm keinerlei Schwäche\nanhaftet, ist es seiner Eigenschaft nach die Kraft. Sein Bild ist der Himmel.\nDie Kraft wird dargestellt als nicht gebunden an bestimmte räumliche Ver-\nhältnisse. Darum wird sie aufgefaßt als Bewegung. Als Grundlage dieser\nBewegung kommt die Zeit in Betracht. So ist denn auch die Macht der Zeit\nund die Macht des Beharrens in der Zeit, die Dauer, in dem Zeichen be-\ngriffen.\nBei der Erklärung des Zeichens ist durchgehend eine doppelte Deutung zu\nberücksichtigen: die makrokosmische und die Wirkung in der Menschenwelt.\nAuf das Weltgeschehen angewandt ist in dem Zeichen das starke schöpfe-\nrische Wirken der Gottheit ausgedrückt. Auf die Menschenwelt angewandt\nbezeichnet es das schöpferische Wirken des Heiligen und Weisen, des Herr-\nschers und Führers der Menschen, der ihr höheres Wesen durch seine Kraft\nweckt und entwickelt¹.	23-27	1. KIAN / DAS SCHÖPFERISCHE\noben Kiän, das Schöpferische, der Himmel\nunten Kiän, das Schöpferische, der Himmel\nas Zeichen besteht aus sechs ungeteilten Strichen. Die ungeteilten\nstarken, geistigen, tätigen Urkraft. Das\nZeichen ist ganz einheitlich stark in seiner Natur. Da ihm keinerlei Schwäche\nanhaftet, ist es seiner Eigenschaft nach die Kraft. Sein Bild ist der Himmel.\nDie Kraft wird dargestellt als nicht gebunden an bestimmte räumliche Ver-\nhältnisse. Darum wird sie aufgefaßt als Bewegung. Als Grundlage dieser\nBewegung kommt die Zeit in Betracht. So ist denn auch die Macht der Zeit\nund die Macht des Beharrens in der Zeit, die Dauer, in dem Zeichen be-\ngriffen.\nBei der Erklärung des Zeichens ist durchgehend eine doppelte Deutung zu\nberücksichtigen: die makrokosmische und die Wirkung in der Menschenwelt.\nAuf das Weltgeschehen angewandt ist in dem Zeichen das starke schöpfe-\nrische Wirken der Gottheit ausgedrückt. Auf die Menschenwelt angewandt\nbezeichnet es das schöpferische Wirken des Heiligen und Weisen, des Herr-\nschers und Führers der Menschen, der ihr höheres Wesen durch seine Kraft\nweckt und entwickelt¹.	pendiente	diff_zeno
judgment_oraculo	Das Schöpferische wirkt erhabenes Gelingen,\nfördernd durch Beharrlichkeit.	Das Schöpferische wirkt erhabenes Gelingen,\nfördernd durch Beharrlichkeit.	23-27	Das Schöpferische wirkt erhabenes Gelingen,\nfördernd durch Beharrlichkeit.	pendiente	coincide_zeno
judgment_comentario	Dem ursprünglichen Sinne nach gehören die Eigenschaften paarweise zusammen. Für den, der dies Orakel gewinnt, bedeutet das, daß ihm Gelingen aus den Urtiefen des Weltgeschehens zuteil werden wird und daß alles darauf ankommt, daß er allein durch Beharrlichkeit im Rechten sein und anderer Glück sucht.\n\nSehr früh hat sich das Nachdenken den vier Eigenschaften in ihrer Sonderbedeutung zugewandt. Das chinesische Wort, das mit »erhaben« wiedergegeben ist, bedeutet »Haupt, Ursprung,  groß«. Darum heißt es in der Erklärung des Kungtse: »Groß wahrlich ist die Ursprungskraft des Schöpferischen, alle Wesen verdanken ihm ihren Anfang. Und diese Kraft durchdringt den ganzen Himmel.« Denn diese erste Eigenschaft geht auch durch die drei andern hindurch.\n\nDer Anfang aller Dinge liegt sozusagen noch im Jenseitigen in der Form von Ideen, die erst zur Verwirklichung kommen müssen. Aber im Schöpferischen liegt auch die Kraft, diesen Urbildern der Ideen Gestalt zu verleihen. Das wird in dem Wort »Gelingen« bezeichnet. Dieser Vorgang wird dargestellt unter einem Bild der Natur. »Die Wolken gehen, und der Regen wirkt, und alle einzelnen Wesen strömen in ihre Gestalt ein.«\n\nAuf das menschliche Gebiet übertragen zeigen diese Eigenschaften dem großen Mann den Weg zu großem Erfolg: »Indem er in großer Klarheit die Ursachen und Wirkungen schaut, vollendet er zur rechten Zeit die sechs Stufen und steigt zur rechten Zeit auf ihnen wie auf sechs Drachen empor zum Himmel.« Die sechs Stufen sind die sechs Einzelpositionen des Zeichens, die weiter unten unter dem Bild von Drachen dargestellt werden. Als Weg zum Erfolg ist hier das Erkennen und Verwirklichen des Weltsinnes bezeichnet, der als durchlaufendes Gesetz durch Ende und Anfang alle zeitlich bedingten Erscheinungen bewirkt. So wird jede erreichte Stufe zugleich die Vorbereitung für die nächste, und die Zeit ist dann kein Hemmnis mehr, sondern das Mittel der Verwirklichung des Möglichen.\n\nNachdem durch die beiden Eigenschaften erhaben und Gelingen der Schöpfungsakt zum Ausdruck kam, wird im Anschluß an die beiden Ausdrücke »fördernd«, d.h. wörtlich »schaffend, was das dem Wesen Entsprechende ist«, und »beharrlich«, d.h. wörtlich »recht und fest«, das Werk der Erhaltung als fortlaufend sich verwirklichende Ausgestaltung aufgezeigt. »Der Lauf des Schöpferischen verändert und gestaltet die Wesen, bis jedes seine rechte, ihm bestimmte Natur erlangt, dann bewahrt er sie in Übereinstimmung mit dem großen Gleichmaß. So zeigt er sich fördernd durch Beharrlichkeit.«\n\nAuf das menschliche Gebiet übertragen ergibt sich hieraus, wie der große Mann durch seine ordnende Tätigkeit der Welt Frieden und Sicherheit bringt: »Indem er sich mit seinem Haupt erhebt über die Menge der Wesen, kommen alle Lande zusammen in Ruhe.«\n\nEine andere Spekulation geht mit der Trennung der Worte »erhaben, Gelingen, fördernd, beharrlich« noch weiter und setzt  sie in Parallele mit den vier menschli chen Kardinaltugenden: Der »Erhabenheit«, die zugleich als Grundprinzip alle andern Eigenschaften einschließt, wird die Liebe zugeordnet. Der Eigenschaft »Gelingen« wird die Sitte zugeordnet, die die Äußerungen der Liebe ordnet, organisiert und darum erfolgreich macht. Der Eigenschaft »fördernd« wird die Gerechtigkeit zugeordnet, die Zustände schafft, in denen jeder das seinem Wesen Entsprechende, was ihm gebührt und sein Glück ausmacht, erhält. Der Eigenschaft der »Beharrlichkeit« wird die Weisheit zugeordnet, die die festen Gesetze alles Geschehens erkennt und darum dauernde Zustände zu schaffen vermag.\n\nDiese Spekulationen, die schon in dem Aufsatz Wen Yen im zweiten Teil des Buchs der Wandlungen angeregt sind, haben dann die Brücke gebildet, auf der die Philosophie der fünf Wandlungsstufen (Elemente), die im Buch der Urkunden verankert ist, mit der Philosophie des Buchs der Wandlungen, die rein auf der polaren Zweiheit von positiven und negativen Prinzipien beruht, kombiniert wurde, wodurch dann im Lauf der Zeit einer immer weiter gehenden Zahlensymbolik die Tür geöffnet wurde.	Dem ursprünglichen Sinne nach gehören die Eigenschaften paarweise zu-\nsammen. Für den, der dies Orakel gewinnt, bedeutet das, daß ihm Gelingen\naus den Urtiefen des Weltgeschehens zuteil werden wird und daß alles\ndarauf ankommt, daß er allein durch Beharrlichkeit im Rechten sein und\nanderer Glück sucht.\nSehr früh hat sich das Nachdenken den vier Eigenschaften in ihrer Sonder-\nbedeutung zugewandt. Das chinesische Wort, das mit "erhaben" wieder-\ngegeben ist, bedeutet "Haupt, Ursprung, groß". Darum heißt es in der Er-\n1 Das Zeichen ist dem 4. Monat (April–Mai) zugeordnet, wenn die lichte Kraft auf ihrer\nHöhe steht, noch ehe die Sonnenwende den Rückgang des Jahres beginnt.\n1 Das Buch der Wandlungen\n~~~~\nklärung des Kungtse: "Groß wahrlich ist die Ursprungskraft des Schöpfe-\nrischen, alle Wesen verdanken ihm ihren Anfang. Und diese Kraft durch-\ndringt den ganzen Himmel." Denn diese erste Eigenschaft geht auch durch\ndie drei andern hindurch.\nDer Anfang aller Dinge liegt sozusagen noch im Jenseitigen in der Form\nvon Ideen, die erst zur Verwirklichung kommen müssen. Aber im Schöp-\nferischen liegt auch die Kraft, diesen Urbildern der Ideen Gestalt zu ver-\nleihen. Das wird in dem Wort "Gelingen" bezeichnet. Dieser Vorgang wird\ndargestellt unter einem Bild der Natur¹. "Die Wolken gehen, und der Regen\nwirkt, und alle einzelnen Wesen strömen in ihre Gestalt ein."\nAuf das menschliche Gebiet übertragen zeigen diese Eigenschaften dem großen\nMann den Weg zu großem Erfolg: "Indem er in großer Klarheit die Ursachen\nund Wirkungen schaut, vollendet er zur rechten Zeit die sechs Stufen und\nsteigt zur rechten Zeit auf ihnen wie auf sechs Drachen empor zum Himmel."\nDie sechs Stufen sind die sechs Einzelpositionen des Zeichens, die weiter\nunten unter dem Bild von Drachen dargestellt werden. Als Weg zum Er-\nfolg ist hier das Erkennen und Verwirklichen des Weltsinnes bezeichnet,\nder als durchlaufendes Gesetz durch Ende und Anfang alle zeitlich beding-\nten Erscheinungen bewirkt. So wird jede erreichte Stufe zugleich die Vor-\nbereitung für die nächste, und die Zeit ist dann kein Hemmnis mehr, sondern\ndas Mittel der Verwirklichung des Möglichen.\nNachdem durch die beiden Eigenschaften erhaben und Gelingen der Schöp-\nfungsakt zum Ausdruck kam, wird im Anschluß an die beiden Ausdrücke\n"fördernd" d. h. wörtlich "schaffend, was das dem Wesen Entsprechende\nist" und "beharrlich" d. h. wörtlich "recht und fest" das Werk der Erhaltung\nals fortlaufend sich verwirklichende Ausgestaltung aufgezeigt. "Der Lauf\ndes Schöpferischen verändert und gestaltet die Wesen, bis jedes seine rechte,\nihm bestimmte Natur erlangt, dann bewahrt er sie in Übereinstimmung mit\ndem großen Gleichmaß. So zeigt er sich fördernd durch Beharrlichkeit."\nAuf das menschliche Gebiet übertragen ergibt sich hieraus, wie der große\nMann durch seine ordnende Tätigkeit der Welt Frieden und Sicherheit\nbringt: "Indem er sich mit seinem Haupt erhebt über die Menge der Wesen,\nkommen alle Lande zusammen in Ruhe."\nEine andere Spekulation geht mit der Trennung der Worte "erhaben, ge-\nlingen, fördernd, beharrlich" noch weiter und setzt sie in Parallele mit den\nvier menschlichen Kardinaltugenden: Der "Erhabenheit", die zugleich als\nGrundprinzip alle andern Eigenschaften einschließt, wird die Liebe zuge--\nordnet. Der Eigenschaft "Gelingen" wird die Sitte zugeordnet, die die Auße-\nrungen der Liebe ordnet, organisiert und darum erfolgreich macht. Der\nEigenschaft fördernd" wird die Gerechtigkeit zugeordnet, die Zustände\n¹ Vgl. Genesis Kap. 2, 1ff., wo auch die Entfaltung der Einzelwesen auf das Fallen des\nRegens zurückgeführt wird.\nschafft, in denen jeder das seinem Wesen Entsprechende, was ihm gebührt\nund sein Glück ausmacht, erhält. Der Eigenschaft der "Beharrlichkeit" wird\ndie Weisheit zugeordnet, die die festen Gesetze alles Geschehens erkennt\nund darum dauernde Zustände zu schaffen vermag.\nDiese Spekulationen, die schon in dem Aufsatz Wen Yän im zweiten Teil\ndes Buchs der Wandlungen angeregt sind, haben dann die Brücke gebildet,\nauf der die Philosophie der fünf Wandlungsstufen (Elemente), die im Buch\nder Urkunden verankert ist, mit der Philosophie des Buchs der Wandlungen,\ndie rein auf der polaren Zweiheit von positiven und negativen Prinzipien be-\nruht, kombiniert wurde, wodurch dann im Lauf der Zeit einer immer weiter-\ngehenden Zahlensymbolik die Tür geöffnet wurde¹.	23-27	Dem ursprünglichen Sinne nach gehören die Eigenschaften paarweise zu-\nsammen. Für den, der dies Orakel gewinnt, bedeutet das, daß ihm Gelingen\naus den Urtiefen des Weltgeschehens zuteil werden wird und daß alles\ndarauf ankommt, daß er allein durch Beharrlichkeit im Rechten sein und\nanderer Glück sucht.\nSehr früh hat sich das Nachdenken den vier Eigenschaften in ihrer Sonder-\nbedeutung zugewandt. Das chinesische Wort, das mit "erhaben" wieder-\ngegeben ist, bedeutet "Haupt, Ursprung, groß". Darum heißt es in der Er-\n1 Das Zeichen ist dem 4. Monat (April–Mai) zugeordnet, wenn die lichte Kraft auf ihrer\nHöhe steht, noch ehe die Sonnenwende den Rückgang des Jahres beginnt.\n1 Das Buch der Wandlungen\n~~~~\nklärung des Kungtse: "Groß wahrlich ist die Ursprungskraft des Schöpfe-\nrischen, alle Wesen verdanken ihm ihren Anfang. Und diese Kraft durch-\ndringt den ganzen Himmel." Denn diese erste Eigenschaft geht auch durch\ndie drei andern hindurch.\nDer Anfang aller Dinge liegt sozusagen noch im Jenseitigen in der Form\nvon Ideen, die erst zur Verwirklichung kommen müssen. Aber im Schöp-\nferischen liegt auch die Kraft, diesen Urbildern der Ideen Gestalt zu ver-\nleihen. Das wird in dem Wort "Gelingen" bezeichnet. Dieser Vorgang wird\ndargestellt unter einem Bild der Natur¹. "Die Wolken gehen, und der Regen\nwirkt, und alle einzelnen Wesen strömen in ihre Gestalt ein."\nAuf das menschliche Gebiet übertragen zeigen diese Eigenschaften dem großen\nMann den Weg zu großem Erfolg: "Indem er in großer Klarheit die Ursachen\nund Wirkungen schaut, vollendet er zur rechten Zeit die sechs Stufen und\nsteigt zur rechten Zeit auf ihnen wie auf sechs Drachen empor zum Himmel."\nDie sechs Stufen sind die sechs Einzelpositionen des Zeichens, die weiter\nunten unter dem Bild von Drachen dargestellt werden. Als Weg zum Er-\nfolg ist hier das Erkennen und Verwirklichen des Weltsinnes bezeichnet,\nder als durchlaufendes Gesetz durch Ende und Anfang alle zeitlich beding-\nten Erscheinungen bewirkt. So wird jede erreichte Stufe zugleich die Vor-\nbereitung für die nächste, und die Zeit ist dann kein Hemmnis mehr, sondern\ndas Mittel der Verwirklichung des Möglichen.\nNachdem durch die beiden Eigenschaften erhaben und Gelingen der Schöp-\nfungsakt zum Ausdruck kam, wird im Anschluß an die beiden Ausdrücke\n"fördernd" d. h. wörtlich "schaffend, was das dem Wesen Entsprechende\nist" und "beharrlich" d. h. wörtlich "recht und fest" das Werk der Erhaltung\nals fortlaufend sich verwirklichende Ausgestaltung aufgezeigt. "Der Lauf\ndes Schöpferischen verändert und gestaltet die Wesen, bis jedes seine rechte,\nihm bestimmte Natur erlangt, dann bewahrt er sie in Übereinstimmung mit\ndem großen Gleichmaß. So zeigt er sich fördernd durch Beharrlichkeit."\nAuf das menschliche Gebiet übertragen ergibt sich hieraus, wie der große\nMann durch seine ordnende Tätigkeit der Welt Frieden und Sicherheit\nbringt: "Indem er sich mit seinem Haupt erhebt über die Menge der Wesen,\nkommen alle Lande zusammen in Ruhe."\nEine andere Spekulation geht mit der Trennung der Worte "erhaben, ge-\nlingen, fördernd, beharrlich" noch weiter und setzt sie in Parallele mit den\nvier menschlichen Kardinaltugenden: Der "Erhabenheit", die zugleich als\nGrundprinzip alle andern Eigenschaften einschließt, wird die Liebe zuge--\nordnet. Der Eigenschaft "Gelingen" wird die Sitte zugeordnet, die die Auße-\nrungen der Liebe ordnet, organisiert und darum erfolgreich macht. Der\nEigenschaft fördernd" wird die Gerechtigkeit zugeordnet, die Zustände\n¹ Vgl. Genesis Kap. 2, 1ff., wo auch die Entfaltung der Einzelwesen auf das Fallen des\nRegens zurückgeführt wird.\nschafft, in denen jeder das seinem Wesen Entsprechende, was ihm gebührt\nund sein Glück ausmacht, erhält. Der Eigenschaft der "Beharrlichkeit" wird\ndie Weisheit zugeordnet, die die festen Gesetze alles Geschehens erkennt\nund darum dauernde Zustände zu schaffen vermag.\nDiese Spekulationen, die schon in dem Aufsatz Wen Yän im zweiten Teil\ndes Buchs der Wandlungen angeregt sind, haben dann die Brücke gebildet,\nauf der die Philosophie der fünf Wandlungsstufen (Elemente), die im Buch\nder Urkunden verankert ist, mit der Philosophie des Buchs der Wandlungen,\ndie rein auf der polaren Zweiheit von positiven und negativen Prinzipien be-\nruht, kombiniert wurde, wodurch dann im Lauf der Zeit einer immer weiter-\ngehenden Zahlensymbolik die Tür geöffnet wurde¹.	pendiente	diff_zeno
image_oraculo	Des Himmels Bewegung ist kraftvoll.\nSo macht der Edle sich stark und unermüdlich.	Des Himmels Bewegung ist kraftvoll.\nSo macht der Edle sich stark und unermüdlich.	23-27	Des Himmels Bewegung ist kraftvoll.\nSo macht der Edle sich stark und unermüdlich.	pendiente	coincide_zeno
image_comentario	Die Verdoppelung des Zeichens Kiën, dessen Bild der Himmel ist, deutet, da es nur einen Himmel gibt, auf die Bewegung des Himmels. Eine vollendete Kreisbewegung des Himmels ist ein Tag. Die Verdoppelung des Zeichens bedeutet, daß auf jeden Tag ein weiterer folgt. Das erzeugt die Vorstellung der Zeit und zugleich, da es derselbe Himmel ist, der sich in unermüdlicher Kraft bewegt, der kraftvollen Dauer in und über der Zeit, einer Bewegung, die nie stillsteht oder erlahmt, wie Tag um Tag einander dauernd folgen. Diese Dauer in der Zeit ist das Bild der Kraft, wie sie dem Schöpferischen zu eigen ist.\n\nDer Weise entnimmt daraus das Vorbild dafür, wie er sich zu dauernder Wirkung zu entwickeln vermag. Er muß sich ganz einheitlich stark machen, indem er alles Niederziehende, Gemeine  bewußt ausschaltet. So gewinnt er die Unermüdlichkeit, die auf geschlossenen Tätigkeitskreisen beruht.	Die Verdoppelung des Zeichens Kiän, dessen Bild der Himmel ist, deutet, da\nes nur einen Himmel gibt, auf die Bewegung des Himmels. Eine vollendete\nKreisbewegung des Himmels ist ein Tag. Die Verdoppelung des Zeichens\nbedeutet, daß auf jeden Tag ein weiterer folgt. Das erzeugt die Vorstellung\nder Zeit und zugleich, da es derselbe Himmel ist, der sich in unermüdlicher\nKraft bewegt, der kraftvollen Dauer in und über der Zeit, einer Bewegung,\ndie nie stillsteht oder erlahmt, wie Tag um Tag einander dauernd folgen.\nDiese Dauer in der Zeit ist das Bild der Kraft, wie sie dem Schöpferischen\nzu eigen ist.\nDer Weise entnimmt daraus das Vorbild dafür, wie er sich zu dauernder\nWirkung zu entwickeln vermag. Er muß sich ganz einheitlich stark machen,\nindem er alles Niederziehende, Gemeine bewußt ausschaltet. So gewinnt\ner die Unermüdlichkeit, die auf geschlossenen Tätigkeitskreisen beruht.	23-27	Die Verdoppelung des Zeichens Kiän, dessen Bild der Himmel ist, deutet, da\nes nur einen Himmel gibt, auf die Bewegung des Himmels. Eine vollendete\nKreisbewegung des Himmels ist ein Tag. Die Verdoppelung des Zeichens\nbedeutet, daß auf jeden Tag ein weiterer folgt. Das erzeugt die Vorstellung\nder Zeit und zugleich, da es derselbe Himmel ist, der sich in unermüdlicher\nKraft bewegt, der kraftvollen Dauer in und über der Zeit, einer Bewegung,\ndie nie stillsteht oder erlahmt, wie Tag um Tag einander dauernd folgen.\nDiese Dauer in der Zeit ist das Bild der Kraft, wie sie dem Schöpferischen\nzu eigen ist.\nDer Weise entnimmt daraus das Vorbild dafür, wie er sich zu dauernder\nWirkung zu entwickeln vermag. Er muß sich ganz einheitlich stark machen,\nindem er alles Niederziehende, Gemeine bewußt ausschaltet. So gewinnt\ner die Unermüdlichkeit, die auf geschlossenen Tätigkeitskreisen beruht.	pendiente	diff_zeno
L1_etiqueta	Anfangs eine Neun bedeutet:	Anfangs eine Neun bedeutet:	23-27	Anfangs eine Neun bedeutet:	pendiente	coincide_zeno
L1_oraculo	Verdeckter Drache. Handle nicht.	Verdeckter Drache. Handle nicht.	23-27	Verdeckter Drache. Handle nicht.	pendiente	coincide_zeno
