campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	15	385-388		cerrado	na
nombre	DIE BESCHEIDENHEIT	385-388	DIE BESCHEIDENHEIT	cerrado	na
chinese	謙	385-388		cerrado	na
chinese_roman	KIAN	385-388	Kiën	cerrado	na
hex_font	䷎	385-388	䷎	cerrado	na
trigrama_arriba	above KUN das Empfangende, DIE ERDE	385-388	above KUN das Empfangende, DIE ERDE	cerrado	na
trigrama_abajo	below GEN das Stillehalten, DER BERG	385-388	below GEN das Stillehalten, DER BERG	cerrado	na
ruler_note	Dschen und Kan\ner Herr des Zeichens ist die Neun auf drittem Platz. In dem Zeichen\nDer\nZeichen weilt. Das ist das Bild der Bescheidenheit; darum ist das Urteil\nüber den Strich dasselbe wie das über das ganze Zeichen. Der Kommentar\nsagt von den dritten Strichen vielfach Unheilvolles aus, aber dieser Strich\nist sehr heilvoll.	385-388	Der Herr des Zeichens ist die Neun auf drittem Platz. In dem Zeichen\nist sie der einzige lichte Strich, der auf seinem Platz ist und im unteren\nZeichen weilt. Das ist das Bild der Bescheidenheit; darum ist das Urteil\nüber den Strich dasselbe wie das über das ganze Zeichen. Der Kommentar\nsagt von den dritten Strichen vielfach Unheilvolles aus, aber dieser Strich\nist sehr heilvoll.	cerrado	coincide_pass04
sequence	Wer Großes besitzt, darf es nicht zu voll machen, darum folgt\nBescheren darauf das Zeichen: die Bescheidenheit.\nbest	385-388	Wer Großes besitzt, darf es nicht zu voll machen, darum folgt\ndarauf das Zeichen: die Bescheidenheit.	cerrado	coincide_pass04
misc_notes	Der Bescheidene hat es leicht.\nDie Bewegungsrichtung der beiden Zeichen geht nach unten und zwar so,\ndaß die sinkende Tendenz des oberen Zeichens stärker ist als die des un-\nteren. Dadurch bleibt der Zusammenhang zwischen beiden gesichert. Von\nden Kernzeichen sinkt das untere, während das obere eine steigende Rich-\ntung hat.\nBeigefügte Urteile\nBescheidenheit zeigt die Handhabe des Charakters.\nBescheidenheit ehrt und ist leuchtend.\nBescheidenheit dient dazu, die Sitte zu ordnen.\nDer gute Charakter hat die Bescheidenheit als seine Handhabe; durch sie\nkann der gute Charakter ergriffen und angeeignet werden. Sie ist bereit,\nandere zu ehren, und zeigt sich eben dadurch in schönstem Licht. Sie ist\ndie Gesinnung, die der aufrichtigen Ausübung der Regeln der Sitte zugrunde\nliegt.	385-388	Der Bescheidene hat es leicht.\nDie Bewegungsrichtung der beiden Zeichen geht nach unten und zwar so,\ndaß die sinkende Tendenz des oberen Zeichens stärker ist als die des unteren. Dadurch bleibt der Zusammenhang zwischen beiden gesichert. Von\nden Kernzeichen sinkt das untere, während das obere eine steigende Richtung hat.\nBeigefügte Urteile\nBescheidenheit zeigt die Handhabe des Charakters.\nBescheidenheit ehrt und ist leuchtend.\nBescheidenheit dient dazu, die Sitte zu ordnen.\nDer gute Charakter hat die Bescheidenheit als seine Handhabe; durch sie\nkann der gute Charakter ergriffen und angeeignet werden. Sie ist bereit,\nandere zu ehren, und zeigt sich eben dadurch in schönstem Licht. Sie ist\ndie Gesinnung, die der aufrichtigen Ausübung der Regeln der Sitte zugrunde\nliegt.	cerrado	coincide_pass02
judgment_oraculo		385-388	Bescheidenheit schafft Gelingen.\nDer Edle bringt zu Ende.	cerrado	na
