campo	contenido_de	fuente_captura
hex	51	zeno.org:wilhelm-de-erstes-buch
nombre	DAS ERREGENDE	zeno.org:wilhelm-de-erstes-buch
chinese	震	zeno.org:wilhelm-de-erstes-buch
chinese_roman	Dschen	zeno.org:wilhelm-de-erstes-buch
hex_font	䷲	zeno.org:wilhelm-de-erstes-buch
trigrama_arriba	oben Dschen, das Erregende, der Donner	zeno.org:wilhelm-de-erstes-buch
trigrama_abajo	unten Dschen, das Erregende, der Donner	zeno.org:wilhelm-de-erstes-buch
intro	51. Dschen / DAS ERREGENDE\noben Dschen, das Erregende, der Donner\nunten Dschen, das Erregende, der Donner\nDas Zeichen Dschen ist der älteste Sohn, der die Herrschaft energisch und machtvoll ergreift. Ein Yangstrich entsteht unter zwei Yinstrichen und dringt machtvoll empor. Diese Bewegung ist so heftig, daß sie Schrecken erregt. Als Bild dient der Donner, der aus der Erde hervorbricht und durch seine Erschütterung Furcht und Zittern verursacht.	zeno.org:wilhelm-de-erstes-buch
judgment_oraculo	Das Erschüttern bringt Gelingen.\nDas Erschüttern kommt: Hu, Hu!\nLachende Worte: Ha, Ha!\nDas Erschüttern erschreckt hundert Meilen,\nund er läßt nicht Opferlöffel und Kelch fallen.	zeno.org:wilhelm-de-erstes-buch
judgment_comentario	Die Erschütterung, die durch das Hervortreten Gottes im Innern der Erde aufsteigt, macht, daß der Mensch sich fürchtet, aber diese Furcht vor Gott ist etwas Gutes; denn sie bewirkt, daß Fröhlichkeit und Freude folgen kann. Wenn man innerlich gelernt hat, was Furcht und Zittern ist, so ist man gegen den Schrecken durch äußere Einflüsse gesichert. Wenn auch der Donner tost, also, daß er hundert Meilen im Umkreis erschreckt, so bleibt man innerlich so gefaßt und ehrerbietig, daß man die Opferhandlung nicht unterbricht. Ein solcher tiefer, innerer Ernst, der alle äußeren Schrecken machtlos abprallen läßt, ist die Geistesverfassung, wie sie die Führer der Menschen und die Herrscher haben müssen.	zeno.org:wilhelm-de-erstes-buch
image_oraculo	Fortgesetzter Donner: das Bild des Erschütterns.\nSo macht der Edle unter Furcht und Zittern sein Leben recht\nund erforscht sich selbst.	zeno.org:wilhelm-de-erstes-buch
image_comentario	Der fortgesetzte Donner bringt durch seine Erschütterung Furcht und Zittern mit sich. So steht der Edle stets in Ehrfurcht vor dem Hervortreten Gottes und bringt sein Leben in Ordnung und erforscht sein Herz, ob nichts im geheimen dem Willen Gottes widerspricht. So ist die Ehrfurcht die Grundlage der wahrhaftigen Lebensbildung.	zeno.org:wilhelm-de-erstes-buch
L1_etiqueta	Anfangs eine Neun bedeutet:	zeno.org:wilhelm-de-erstes-buch
L1_oraculo	Das Erschüttern kommt: Hu, Hu!\nDarauf folgen lachende Worte: Ha, Ha!\nHeil!	zeno.org:wilhelm-de-erstes-buch
L1_comentario	Furcht und Zittern der Erschütterung kommt zuerst an einen, so daß man den andern gegenüber sich in Nachteil gestellt sieht. Aber das ist nur vorläufig. Wenn man durch das Gericht hindurch ist, so kommt die Erleichterung. Und so bringt gerade der Schrecken, in den man zunächst hinein muß, im ganzen betrachtet, Heil.	zeno.org:wilhelm-de-erstes-buch
L2_etiqueta	Sechs auf zweitem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L2_oraculo	Das Erschüttern kommt mit Gefahr.\nHunderttausendfach verlierst du deine Schätze\nund mußt auf die neun Hügel steigen.\nJage ihnen nicht nach.\nNach sieben Tagen bekommst du sie wieder.	zeno.org:wilhelm-de-erstes-buch
L2_comentario	Es ist eine Lage gezeichnet, da man durch eine Erschütterung in Gefahr gerät und große Verluste erleidet. Die Verhältnisse sind so, daß Widerstand der Richtung der Zeitbewegung entgegen ist und daher keinen Erfolg hat. Darum soll man sich einfach zurückziehen in Höhengebiete, die unzugänglich sind für die drohenden Gefahren. Die Verluste an Besitz muß man mit in Kauf nehmen und soll sich nicht übermäßig darum kümmern. Ohne daß man dem Besitz nachjagt, wird man ihn von selber wiederbekommen, wenn die Zeit vorüber ist, deren Erschütterungen den Besitz geraubt haben.	zeno.org:wilhelm-de-erstes-buch
L3_etiqueta	Sechs auf drittem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L3_oraculo	Das Erschüttern kommt und macht fassungslos.\nWenn man infolge des Erschütterns handelt,\nso bleibt man frei von Unglück.	zeno.org:wilhelm-de-erstes-buch
L3_comentario	Es gibt dreierlei Erschütterungen: die Erschütterung des Himmels, das ist der Donner, ferner die Erschütterung des Schicksals und endlich die Erschütterung des Herzens.\n\nHier handelt es sich weniger um innere Erschütterung als um die Erschütterung des Schicksals. In solchen Erschütterungszeiten verliert man zu leicht die Besonnenheit, so daß man alle Möglichkeiten des Handelns verkennt und stumm dem Schicksal den Lauf läßt. Wenn man sich durch die Erschütterung des Schicksals zu innerer Bewegung bringen läßt, so wird man die äußeren Schicksalsschläge ohne große Mühe überwinden.	zeno.org:wilhelm-de-erstes-buch
L4_etiqueta	Neun auf viertem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L4_oraculo	Das Erschüttern gerät in Schlamm.	zeno.org:wilhelm-de-erstes-buch
L4_comentario	Die innere Bewegung hängt in ihrem Erfolg zum Teil auch von den Umständen ab. Wenn die Umstände so sind, daß weder Widerstand vorhanden ist, der sich energisch bekämpfen ließe, noch die Dinge nachgeben, so daß ein Sieg errungen werden kann, sondern alles zäh und träge ist wie Schlamm, so wird die Bewegung gelähmt.	zeno.org:wilhelm-de-erstes-buch
L5_etiqueta	Sechs auf fünftem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L5_oraculo	Das Erschüttern geht hin und her: Gefahr.\nAber man verliert durchaus nichts,\nnur gibt es Geschäfte.	zeno.org:wilhelm-de-erstes-buch
L5_comentario	Es ist hier nicht nur eine einmalige Erschütterung, sondern eine wiederholte, die gar keine Zeit zum Aufatmen läßt. Aber dennoch  bringt die Erschütterung keinen Verlust, da man darauf bedacht ist, sich im Zentrum der Bewegung zu halten und dadurch von dem Schicksal befreit zu sein, wehrlos hin und her geworfen zu werden.	zeno.org:wilhelm-de-erstes-buch
L6_etiqueta	Oben eine Sechs bedeutet:	zeno.org:wilhelm-de-erstes-buch
L6_oraculo	Das Erschüttern bringt Verfall und ängstliches Umherblicken.\nVorangehen bringt Unheil.\nWenn es noch nicht den eignen Leib erreicht,\nsondern erst den Nachbar erreicht hat,\nso ist kein Makel.\nDie Genossen haben zu reden.	zeno.org:wilhelm-de-erstes-buch
